"","pangolin_lineage","dNdS"
"7","AY.122",0.666666666666667
"9","AY.127",1
"15","AY.43",3.39101497504146
"19","B.1.1",2.66798961583137
"20","B.1.1.529",2.17651236317173
"21","B.1.617.2",9.78166838311221
"22","BA.1",1.57356302886527
"23","BA.1.1",1.69950226599679
"24","BA.1.1.1",1.2151853245938
"25","BA.1.1.10",0.955500365948178
"26","BA.1.1.11",3.88219673470672
"27","BA.1.1.12",1.18810513904369
"28","BA.1.1.13",1.05284569519046
"29","BA.1.1.14",1.98868136471024
"30","BA.1.1.15",1.1596061923585
"31","BA.1.1.16",1.80370842851638
"33","BA.1.1.18",2.11043976825204
"34","BA.1.1.2",1.24751326444838
"36","BA.1.1.4",3.68291856641384
"37","BA.1.1.5",0.186563700046428
"38","BA.1.1.6",1.86085331945966
"39","BA.1.1.7",2.05840582283153
"40","BA.1.1.8",2.41370158998567
"41","BA.1.1.9",1.76140946720446
"42","BA.1.10",1.22827819213358
"43","BA.1.12",0.863863682724673
"44","BA.1.13",0.436675671380936
"45","BA.1.13.1",1.32349324770979
"46","BA.1.14",1.51730825789523
"47","BA.1.14.1",1.16011622302629
"48","BA.1.14.2",0.770804703008181
"49","BA.1.15",1.81007527054396
"50","BA.1.15.1",1.55997238947424
"51","BA.1.15.2",2.45061573721748
"52","BA.1.15.3",0.778977272727256
"53","BA.1.16",1.09425384133152
"56","BA.1.17",1.49813011585379
"57","BA.1.17.1",0.901785714285801
"58","BA.1.17.2",1.54779042310707
"59","BA.1.18",1.81124033082905
"60","BA.1.19",1.64637457879784
"61","BA.1.2",0.772727272727153
"62","BA.1.20",1.54615896279949
"63","BA.1.21",1.59467805574883
"64","BA.1.21.1",2.25015499070059
"65","BA.1.23",0.166666666666568
"67","BA.1.3",4.26966224728458
"68","BA.1.4",0.70723306544201
"69","BA.1.5",0.58698418469364
"70","BA.1.6",0.708323042726474
"71","BA.1.7",1.50745341615079
"72","BA.1.8",1.00728466678158
"73","BA.1.9",1.17510164026353
"74","BA.2",0.95029896690268
"75","BA.2.1",0.952498688768238
"76","BA.2.10",0.699171228354396
"77","BA.2.10.1",1.70836392072844
"78","BA.2.10.2",0.436193440130111
"80","BA.2.10.4",0.636363636363672
"83","BA.2.12.1",0.900950468141671
"84","BA.2.12.2",0.390340579161189
"86","BA.2.13.1",0.330981099696991
"87","BA.2.14",1.36053573800933
"88","BA.2.15",0.808364213869729
"89","BA.2.16",2.01593638324595
"90","BA.2.17",1.47014313942845
"91","BA.2.18",0.295735129640216
"92","BA.2.19",0.276765845215547
"93","BA.2.2",0.705031192177194
"95","BA.2.20",0.588161946027386
"96","BA.2.21",1.37158431038669
"97","BA.2.22",2.08572104061918
"98","BA.2.23",0.886299174988926
"99","BA.2.23.1",1.3083503556579
"100","BA.2.24",0.880842727846492
"101","BA.2.25",1.13406257949667
"102","BA.2.25.1",1.00000000000001
"103","BA.2.26",0.457823668944144
"104","BA.2.27",0.709217636463312
"105","BA.2.28",0.883578431372287
"106","BA.2.29",1.33762426325526
"107","BA.2.3",1.28172461579024
"108","BA.2.3.1",1.03940694561083
"109","BA.2.3.10",0.7804100689359
"110","BA.2.3.11",0.803677599148166
"111","BA.2.3.12",0.506911976106119
"112","BA.2.3.13",0.75327584654305
"113","BA.2.3.14",1.71756124912543
"114","BA.2.3.15",1.11938400678164
"115","BA.2.3.16",4.5094495412844
"116","BA.2.3.17",0.934694142353623
"117","BA.2.3.18",1.17740406028654
"118","BA.2.3.2",1.21617671942606
"119","BA.2.3.20",0.328190346867937
"120","BA.2.3.4",0.39981202026014
"121","BA.2.3.5",0.85413345237338
"122","BA.2.3.6",0.970582927269386
"123","BA.2.3.7",1.59874944457944
"124","BA.2.3.8",0.43868490520757
"125","BA.2.3.9",0.937519535998382
"126","BA.2.30",1.4038891928183
"127","BA.2.31",1.23864111340813
"129","BA.2.32",0.806207911327898
"130","BA.2.33",1.22115183246074
"133","BA.2.36",1.031638065095
"134","BA.2.37",0.520240049489
"135","BA.2.38",2.20135179442263
"136","BA.2.38.1",0.27495243774312
"139","BA.2.39",1.65887970674306
"140","BA.2.4",0.851382747508084
"142","BA.2.40.1",0.951417947192859
"143","BA.2.41",0.511800203744558
"144","BA.2.42",1.16301106890484
"145","BA.2.43",0.53660498793242
"146","BA.2.44",1.14270175291803
"147","BA.2.45",1.48988928538749
"149","BA.2.47",0.156745926671227
"150","BA.2.48",0.840026334505298
"152","BA.2.5",0.850539825821331
"153","BA.2.50",0.799376469051977
"154","BA.2.51",1.30895016430063
"155","BA.2.52",1.68912333217727
"156","BA.2.53",0.921204336111281
"157","BA.2.54",0.615580847723693
"158","BA.2.55",1.8642870307796
"160","BA.2.56.1",0.369263508512216
"161","BA.2.57",0.786938234258099
"162","BA.2.58",1.39632757003071
"163","BA.2.59",1.10254480777126
"164","BA.2.6",1.05609574711202
"165","BA.2.60",0.102661596958231
"166","BA.2.61",0.405447620091484
"168","BA.2.63",2.15623418255441
"169","BA.2.64",1.24614558992877
"170","BA.2.65",1.69473372085897
"171","BA.2.66",2.57541496271349
"173","BA.2.68",1.32492505977003
"174","BA.2.69",0.381086142322137
"175","BA.2.7",1.54700204660606
"176","BA.2.70",2.10847984690835
"177","BA.2.71",1.30060200938243
"178","BA.2.72",1.13000280407135
"179","BA.2.73",1.94000957657819
"181","BA.2.75",2.68012673850609
"182","BA.2.75.1",0.658350608911644
"184","BA.2.75.3",0.504102433069243
"185","BA.2.75.5",4.45917524877199
"188","BA.2.75.8",0.254901960785648
"189","BA.2.76",1.42911807469283
"190","BA.2.76.2",0.524249422632746
"191","BA.2.77",2.89221556886245
"193","BA.2.79",0.727467811158803
"194","BA.2.8",1.02469537765421
"195","BA.2.81",0.793926247287863
"196","BA.2.82",5.58670820353161
"197","BA.2.85",2.95295745416807
"198","BA.2.9",0.98146520445511
"199","BA.2.9.1",0.361299052774024
"200","BA.2.9.2",2.67198009894946
"201","BA.2.9.3",0.6126080360586
"202","BA.2.9.4",0.706401143329884
"203","BA.2.9.5",1.22297445353551
"204","BA.2.9.6",3.82936957342406
"205","BA.3",0.125233208955079
"206","BA.3.1",0.929305871424466
"207","BA.4",0.756000785317649
"208","BA.4.1",0.817387475254174
"209","BA.4.1.1",0.242702972503006
"210","BA.4.1.10",0.702857142857244
"211","BA.4.1.2",0.424005681818194
"213","BA.4.1.4",1.96490683229823
"214","BA.4.1.5",0.594681708299748
"215","BA.4.1.6",0.705339806626045
"217","BA.4.1.8",0.441851209727205
"218","BA.4.1.9",2.67373636047245
"219","BA.4.2",0.63948757631532
"221","BA.4.4",0.988255780990575
"222","BA.4.5",0.702900095201536
"223","BA.4.6",1.00264883536143
"224","BA.4.6.1",1.62033453518997
"225","BA.4.7",0.809071577349399
"226","BA.4.8",1.94354269583625
"227","BA.5",1.45062838013148
"228","BA.5.1",1.10343138436329
"229","BA.5.1.1",1.61338168260843
"230","BA.5.1.10",0.875688725361097
"231","BA.5.1.11",0.941062801932414
"232","BA.5.1.12",0.940362167909864
